,evidence,claim,QA,best answer,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Q6,A6,Q7,A7,explanation
356,Led Zeppelin were an English rock band formed in London in 1968 .,Led Zeppelin was formed in Alaska.,"[{'question': 'What is the name of the band formed in Alaska?', 'answer': 'Led zeppelin'}, {'question': 'Where was Led Zeppelin formed?', 'answer': 'London'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",London,What is the name of the band formed in Alaska?,Led zeppelin,Where was Led Zeppelin formed?,London,None,None,None,None,None,None,None,None,None,None,Led Zeppelin was formed in London.
357,"Intimacy is a 2001 British film directed by Patrice Chéreau , starring Mark Rylance and Kerry Fox .",Intimacy (film) is only a French film.,"[{'question': 'What is the French term for film?', 'answer': 'Intimacy'}, {'question': 'Is intimacy a French film?', 'answer': 'Yes, intimacy is a 2001 british film directed by patrice chéreau.'}, {'question': 'What is intimacy?', 'answer': 'Intimacy is a 2001 british film directed by patrice chéreau, starring mark rylance and kerry fox.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","Intimacy is a 2001 british film directed by patrice chéreau, starring mark rylance and kerry fox.",What is the French term for film?,Intimacy,Is intimacy a French film?,"Yes, intimacy is a 2001 british film directed by patrice chéreau.",What is intimacy?,"Intimacy is a 2001 british film directed by patrice chéreau, starring mark rylance and kerry fox.",None,None,None,None,None,None,None,None,"Intimacy is a 2001 british film directed by patrice chéreau, starring mark rylance and kerry fox."
358,Brando received Academy Award nominations for playing Emiliano Zapata in Viva Zapata !,Marlon Brando played anyone except Emiliano Zapata.,"[{'question': 'Who did Marlon Brando play with other than Emiliano Zapata?', 'answer': 'Marlon brando played with other than emiliano zapata.'}, {'question': 'Who played Marlon Brando except Emiliano Zapata?', 'answer': 'Brando'}, {'question': 'Who played any other player except Emiliano Zapata?', 'answer': 'Brando'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Brando,Who did Marlon Brando play with other than Emiliano Zapata?,Marlon brando played with other than emiliano zapata.,Who played Marlon Brando except Emiliano Zapata?,Brando,Who played any other player except Emiliano Zapata?,Brando,None,None,None,None,None,None,None,None,Brando played Marlon Brando except Emiliano Zapata.
359,"Slovakia -LRB- listen -RRB- , is a landlocked country in Central Europe . It is bordered by the Czech Republic and Austria to the west , Poland to the north , Ukraine to the east and Hungary to the south . Slovakia 's territory spans about 49000 km2 and is mostly mountainous . The capital and largest city is Bratislava . The official language is Slovak . The Slavs arrived in the territory of present-day Slovakia in the 5th and 6th centuries . In the 10th century , the territory was integrated into the Kingdom of Hungary , which itself became part of the Ottoman Empire and the Austro-Hungarian Empire . After World War I and the dissolution of the Austro-Hungarian Empire , the Slovaks and Czechs established Czechoslovakia . A separate -LRB- First -RRB- Slovak Republic -LRB- 1939 -- 1945 -RRB- existed in World War II as a client state of Nazi Germany . In 1945 , Czechoslovakia was re-established under Communist rule as a Soviet satellite . In 1989 the Velvet Revolution ended authoritarian Communist rule in Czechoslovakia . Slovakia became an independent state on 1 January 1993 after the peaceful dissolution of Czechoslovakia , sometimes known as the Velvet Divorce . Slovakia is a high-income advanced economy with a very high Human Development Index , a very high standard of living and performs favourably in measurements of civil liberties , press freedom , internet freedom , democratic governance and peacefulness . The country maintains a combination of market economy with a comprehensive social security system . Citizens of Slovakia are provided with universal health care , free education and one of the longest paid maternity leave in the OECD . The country joined the European Union in 2004 and the Eurozone on 1 January 2009 . Slovakia is also a member of the Schengen Area , NATO , the United Nations , the OECD , the WTO , CERN , the OSCE , the Council of Europe and the Visegrád Group . The Slovak economy is one of the fastest growing economies in Europe and 3rd fastest in eurozone . Its legal tender , the Euro , is the world 's 2nd most traded currency . Although regional income inequality is high , 90 % of citizens own their homes . In 2016 , Slovak citizens had visa-free or visa-on-arrival access to 165 countries and territories , ranking the Slovak passport 11th in the world . Slovakia is the world 's largest per-capita car producer with a total of 1,040,000 cars manufactured in the country in 2016 alone and the 7th largest car producer in the European Union . The population is over 5 million and comprises mostly ethnic Slovaks . The car industry represents 43 % of Slovakia 's industrial output , and a quarter of its exports .",Slovakia is a warship.,"[{'question': 'What is the name of the warship that is slovakia?', 'answer': 'The slavs arrived in the territory of present-day slovakia in the 5th and 6th centuries.'}, {'question': 'What is Slovakia?', 'answer': 'It is a landlocked country in central europe.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",It is a landlocked country in central europe.,What is the name of the warship that is slovakia?,The slavs arrived in the territory of present-day slovakia in the 5th and 6th centuries.,What is Slovakia?,It is a landlocked country in central europe.,None,None,None,None,None,None,None,None,None,None,It is a landlocked country in central europe.
360,"Gennady Gennadyevich Golovkin -LRB- Геннадий Геннадьевич Головкин born 8 April 1982 -RRB- is a Kazakhstani professional boxer who currently holds the unified WBA -LRB- Super -RRB- , WBC , IBF , and IBO middleweight titles . As of May 2017 , he is ranked as the world 's best middleweight by BoxRec and the Transnational Boxing Rankings Board , and second best by The Ring . In his amateur career , Golovkin won a gold medal in the middleweight division at the 2003 World Championships . In 2016 , he achieved his 17th title defense by knockout , which equalled the record set by Wilfredo Gómez in 1982 .",Gennady Golovkin is a fencer.,"[{'question': 'Who is a fencer?', 'answer': 'A kazakhstani professional boxer who currently holds the unified wba -lrb- super -rrb-, wbc, ibf, and ibo middleweight titles.'}, {'question': ""What is Gennady Golovkin's profession?"", 'answer': 'He is a kazakhstani professional boxer who currently holds the unified wba -lrb- super -rrb-, wbc, ibf, and ibo middleweight titles.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","A kazakhstani professional boxer who currently holds the unified wba -lrb- super -rrb-, wbc, ibf, and ibo middleweight titles.",Who is a fencer?,"A kazakhstani professional boxer who currently holds the unified wba -lrb- super -rrb-, wbc, ibf, and ibo middleweight titles.",What is Gennady Golovkin's profession?,"He is a kazakhstani professional boxer who currently holds the unified wba -lrb- super -rrb-, wbc, ibf, and ibo middleweight titles.",None,None,None,None,None,None,None,None,None,None,"A kazakhstani professional boxer who currently holds the unified wba -lrb- super -rrb-, wbc, ibf, and ibo middleweight titles."
361,The Odyssey continues to be read in the Homeric Greek and translated into modern languages around the world .,The Odyssey has never been translated.,"[{'question': 'What is the name of the Odyssey that has never been translated?', 'answer': 'Homeric greek'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Homeric greek,What is the name of the Odyssey that has never been translated?,Homeric greek,None,None,None,None,None,None,None,None,None,None,None,None,The name of the Odyssey that has never been translated is Homeric greek.
362,"Interpersonal psychotherapy -LRB- IPT -RRB- is a brief , attachment-focused psychotherapy that centers on resolving interpersonal problems and symptomatic recovery .",Interpersonal psychotherapy centers solely on impersonal problems.,"[{'question': 'What is the focus of interpersonal psychotherapy?', 'answer': 'Resolving interpersonal problems and symptomatic recovery.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Resolving interpersonal problems and symptomatic recovery.,What is the focus of interpersonal psychotherapy?,Resolving interpersonal problems and symptomatic recovery.,None,None,None,None,None,None,None,None,None,None,None,None,Resolving interpersonal problems and symptomatic recovery is the focus of interpersonal psychotherapy.
363,"On June 8 , 2016 , she was suspended from playing tennis for two years by the International Tennis Federation -LRB- ITF -RRB- .",Maria Sharapova has yet to receive a suspension.,"[{'question': 'Who has yet to receive a suspension?', 'answer': 'The international tennis federation -lrb- itf -rrb-'}, {'question': 'What has Maria Sharapova yet to receive?', 'answer': 'Maria sharapova was suspended from playing tennis for two years by the international tennis federation -lrb- itf -rrb-.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Maria sharapova was suspended from playing tennis for two years by the international tennis federation -lrb- itf -rrb-.,Who has yet to receive a suspension?,The international tennis federation -lrb- itf -rrb-,What has Maria Sharapova yet to receive?,Maria sharapova was suspended from playing tennis for two years by the international tennis federation -lrb- itf -rrb-.,None,None,None,None,None,None,None,None,None,None,Maria Sharapova has yet to receive the suspension from playing tennis by the international tennis federation.
364,"His seventh film , the crime comedy-drama Inherent Vice , based on the novel of the same name by Thomas Pynchon , was released in 2014 , to general acclaim .",Paul Thomas Anderson was the lead in Inherent Vice.,"[{'question': ""What is the name of Paul Thomas Anderson's film?"", 'answer': 'Inherent vice'}, {'question': ""What was Paul Thomas Anderson's role in Inherent Vice?"", 'answer': ""Paul thomas anderson's role in inherent vice was in the crime comedy-drama.""}, {'question': 'Who was the lead actor in Inherent Vice?', 'answer': 'Thomas pynchon'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Thomas pynchon,What is the name of Paul Thomas Anderson's film?,Inherent vice,What was Paul Thomas Anderson's role in Inherent Vice?,Paul thomas anderson's role in inherent vice was in the crime comedy-drama.,Who was the lead actor in Inherent Vice?,Thomas pynchon,None,None,None,None,None,None,None,None,Thomas pynchon was the lead actor in Inherent Vice.
365,"Produced in part by long time Simpsons producer James L. Brooks , it was inspired by sports agent Leigh Steinberg , who acted as Technical Consultant on the crew .",Jerry Maguire was inspired by a sports competition named Leigh Steinberg.,"[{'question': 'What was Leigh Steinberg?', 'answer': 'Leigh steinberg was a sports agent.'}, {'question': 'What is the name of the sports competition that inspired Jerry Maguire?', 'answer': 'Leigh steinberg'}, {'question': 'Who was inspired by Leigh Steinberg?', 'answer': 'James l. brooks'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Leigh steinberg was a sports agent.,What was Leigh Steinberg?,Leigh steinberg was a sports agent.,What is the name of the sports competition that inspired Jerry Maguire?,Leigh steinberg,Who was inspired by Leigh Steinberg?,James l. brooks,None,None,None,None,None,None,None,None,Leigh steinberg was a sports agent.
366,"George Timothy Clooney -LRB- born May 6 , 1961 -RRB- is an American actor , filmmaker , activist and philanthropist . He has received three Golden Globe Awards for his work as an actor and two Academy Awards , one for acting in Syriana -LRB- 2006 -RRB- and the other for co-producing Argo -LRB- 2012 -RRB- . Clooney made his acting debut on television in 1978 , and later gained wide recognition in his role as Dr. Doug Ross on the long-running medical drama ER from 1994 to 1999 , for which he received two Primetime Emmy Award nominations . While working on ER , he began attracting a variety of leading roles in films , including the superhero film Batman & Robin -LRB- 1997 -RRB- and the crime comedy Out of Sight -LRB- 1998 -RRB- , in which he first worked with director Steven Soderbergh , who would become a long-time collaborator . In 1999 , he took the lead role in Three Kings , a well-received war satire set during the Gulf War . In 2001 , Clooney 's fame widened with the release of his biggest commercial success , the heist comedy remake Ocean 's Eleven , the first of what became a trilogy starring Clooney . He made his directorial debut a year later with the biographical spy comedy Confessions of a Dangerous Mind , and has since directed the historical drama Good Night , and Good Luck -LRB- 2005 -RRB- , the sports comedy Leatherheads -LRB- 2008 -RRB- , the political drama The Ides of March -LRB- 2011 -RRB- , and the war film The Monuments Men -LRB- 2014 -RRB- . Clooney won an Academy Award for Best Supporting Actor for the Middle East thriller Syriana -LRB- 2005 -RRB- , and subsequently earned Best Actor nominations for the legal thriller Michael Clayton -LRB- 2007 -RRB- and the comedy-dramas Up in the Air -LRB- 2009 -RRB- and The Descendants -LRB- 2011 -RRB- . In 2013 , he received the Academy Award for Best Picture for producing the political thriller Argo . He is the only person who has been nominated for Academy Awards in six different categories . In 2009 , Clooney was included in Time annual Time 100 as one of the `` Most Influential People in the World '' . He is also noted for his political and economic activism , and has served as one of the United Nations Messengers of Peace since January 31 , 2008 . His humanitarian work includes his advocacy of finding a resolution for the Darfur conflict , raising funds for the 2010 Haiti earthquake , Armenian Genocide recognition , 2004 tsunami , and 9/11 victims , and creating documentaries such as Sand and Sorrow to raise awareness about international crises . He is also a member of the Council on Foreign Relations .",George Clooney is a fundraiser.,"[{'question': ""What is George Clooney's job?"", 'answer': 'He is an american actor, filmmaker, activist and philanthropist.'}, {'question': 'Who is a fundraiser?', 'answer': 'An american actor, filmmaker, activist and philanthropist.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","He is an american actor, filmmaker, activist and philanthropist.",What is George Clooney's job?,"He is an american actor, filmmaker, activist and philanthropist.",Who is a fundraiser?,"An american actor, filmmaker, activist and philanthropist.",None,None,None,None,None,None,None,None,None,None,"He is an american actor, filmmaker, activist and philanthropist."
367,"Junun is a 2015 documentary film directed by Paul Thomas Anderson . Junun premièred at the 2015 New York Film Festival and was released on the MUBI film streaming service on October 9 and on iTunes on November 20 , 2015 . Greenwood previously composed soundtracks for several Anderson films .",Junun is a book.,"[{'question': 'What is Junun?', 'answer': 'Junun is a 2015 documentary film directed by paul thomas anderson.'}, {'question': 'What is the name of the book that is a book?', 'answer': 'The name of the book that is a book is junun.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Junun is a 2015 documentary film directed by paul thomas anderson.,What is Junun?,Junun is a 2015 documentary film directed by paul thomas anderson.,What is the name of the book that is a book?,The name of the book that is a book is junun.,None,None,None,None,None,None,None,None,None,None,Junun is a 2015 documentary film directed by paul thomas anderson.
368,"In the north , it is connected to the Marmara Sea and Black Sea by the Dardanelles and Bosphorus .",The Aegean Sea is far from the Black Sea.,"[{'question': 'What is far from the Black Sea?', 'answer': 'Dardanelles and bosphorus'}, {'question': 'How far away from the Black Sea is the Aegean Sea?', 'answer': 'Aegean sea is in the north.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Dardanelles and bosphorus,What is far from the Black Sea?,Dardanelles and bosphorus,How far away from the Black Sea is the Aegean Sea?,Aegean sea is in the north.,None,None,None,None,None,None,None,None,None,None,Dardanelles and bosphorus are far from the Black Sea.
369,"With an estimated net worth of US$ 82 billion as of May 2017 , Bezos is currently the third-richest person in the world , just behind Bill Gates and Amancio Ortega in first and second places , and just ahead of Warren Buffett in fourth place .",Jeff Bezos is not the wealthiest or poorest person in the world.,"[{'question': ""What is Jeff Bezos's status as a person?"", 'answer': 'Jeff bezos is currently the third-richest person in the world.'}, {'question': ""What is Jeff Bezos' wealth?"", 'answer': 'Jeff bezos is currently the third-richest person in the world.'}, {'question': 'Who is not the wealthiest person in the world?', 'answer': 'Bezos'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Bezos,What is Jeff Bezos's status as a person?,Jeff bezos is currently the third-richest person in the world.,What is Jeff Bezos' wealth?,Jeff bezos is currently the third-richest person in the world.,Who is not the wealthiest person in the world?,Bezos,None,None,None,None,None,None,None,None,Jefferson is not the wealthiest person in the world.
370,Transformers : Dark of the Moon is a 2011 American science fiction action film directed by Michael Bay and based on the toy line of the same name created by Hasbro .,Transformers: Dark of the Moon is a political party slogan.,"[{'question': 'What is the political party slogan for Dark of the Moon?', 'answer': 'The political party slogan for dark of the moon is a 2011 american science fiction action film directed by michael bay and based on the toy line of the same name created by hasbro.'}, {'question': 'What is the Transformers: Dark of the Moon?', 'answer': 'A 2011 american science fiction action film directed by michael bay and based on the toy line of the same name created by hasbro.'}, {'question': 'What is the dark side of the moon?', 'answer': 'A 2011 american science fiction action film directed by michael bay and based on the toy line of the same name created by hasbro.'}, {'question': 'What is the darkest planet in the universe?', 'answer': 'Dark of the moon'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",A 2011 american science fiction action film directed by michael bay and based on the toy line of the same name created by hasbro.,What is the political party slogan for Dark of the Moon?,The political party slogan for dark of the moon is a 2011 american science fiction action film directed by michael bay and based on the toy line of the same name created by hasbro.,What is the Transformers: Dark of the Moon?,A 2011 american science fiction action film directed by michael bay and based on the toy line of the same name created by hasbro.,What is the dark side of the moon?,A 2011 american science fiction action film directed by michael bay and based on the toy line of the same name created by hasbro.,What is the darkest planet in the universe?,Dark of the moon,None,None,None,None,None,None,The Transformers: Dark of the Moon is a 2011 american science fiction action film directed by Michael Bay and based on the toy line of the same name created by Hasbro.
371,"He was the running mate of Dwight D. Eisenhower , the Republican Party presidential nominee in the 1952 election .",Richard Nixon was in the United States congressional election of 1972.,"[{'question': 'When was the first US congressional election?', 'answer': '1952'}, {'question': 'What was the name of the election that Richard Nixon was in?', 'answer': 'Dwight d. eisenhower'}, {'question': 'Who won the 1972 US congressional election?', 'answer': 'Dwight d. eisenhower'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Dwight d. eisenhower,When was the first US congressional election?,1952,What was the name of the election that Richard Nixon was in?,Dwight d. eisenhower,Who won the 1972 US congressional election?,Dwight d. eisenhower,None,None,None,None,None,None,None,None,The name of the election that Richard Nixon was in was Dwight d. eisenhower.
372,"Watchmen is an American comic-book limited series published by DC Comics in 1986 and 1987 , and collected in 1987 . After a number of attempts to adapt the series into a feature film , director Zack Snyder 's Watchmen was released in 2009 .",Watchmen is a television show.,"[{'question': 'What is Watchmen?', 'answer': 'Watchmen is an american comic-book limited series published by dc comics in 1986 and 1987, and collected in 1987.'}, {'question': 'What is the name of the television show that is watchmen?', 'answer': 'Watchmen is an american comic-book limited series published by dc comics in 1986 and 1987, and collected in 1987.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","Watchmen is an american comic-book limited series published by dc comics in 1986 and 1987, and collected in 1987.",What is Watchmen?,"Watchmen is an american comic-book limited series published by dc comics in 1986 and 1987, and collected in 1987.",What is the name of the television show that is watchmen?,"Watchmen is an american comic-book limited series published by dc comics in 1986 and 1987, and collected in 1987.",None,None,None,None,None,None,None,None,None,None,"Watchmen is an american comic-book limited series published by dc comics in 1986 and 1987, and collected in 1987."
373,"Collectively , her work both as a member of Fleetwood Mac and as a solo artist has produced over 40 top-50 hits and sold over 140 million records , making her one of the best selling music acts of all time with Fleetwood Mac . As a member of Fleetwood Mac , she was inducted into the Rock and Roll Hall of Fame in 1998 . In 1981 , while remaining a member of Fleetwood Mac , Nicks began her solo career , releasing the album Bella Donna , which topped the Billboard album charts and reached platinum status less than three months after its release , and has since been certified quadruple-platinum . Nicks is best known for her work as the front-woman of Fleetwood Mac and for her chart-topping solo career . She has won numerous awards with Fleetwood Mac , including a Grammy Award and five Grammy Award nominations . Nicks joined Fleetwood Mac in 1975 along with her then boyfriend , Lindsey Buckingham . Rumours , Fleetwood Mac 's second album after the incorporation of Nicks and Buckingham , was the best-selling album of the year of its release , and to date , has made sales of over 40 million copies worldwide , making it the fifth-highest selling studio album of all time .",Stevie Nicks was only a member of Ween.,"[{'question': 'Who was a member of Ween?', 'answer': 'Fleetwood mac'}, {'question': 'What was Stevie Nicks only a member of?', 'answer': 'Fleetwood mac'}, {'question': 'How did Stevie Nicks join Ween?', 'answer': 'In 1981, while remaining a member of fleetwood mac, nicks began her solo career, releasing the album bella donna, which topped the billboard album charts and reached platinum status less.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","In 1981, while remaining a member of fleetwood mac, nicks began her solo career, releasing the album bella donna, which topped the billboard album charts and reached platinum status less.",Who was a member of Ween?,Fleetwood mac,What was Stevie Nicks only a member of?,Fleetwood mac,How did Stevie Nicks join Ween?,"In 1981, while remaining a member of fleetwood mac, nicks began her solo career, releasing the album bella donna, which topped the billboard album charts and reached platinum status less.",None,None,None,None,None,None,None,None,"In 1981, while remaining a member of fleetwood mac, nicks began her solo career, releasing the album bella donna, which topped the billboard album charts and reached platinum status less."
374,"MacFarlane has released three studio albums , in the same vein of his musical idol Frank Sinatra , beginning with Music Is Better Than Words in 2011 .",Seth MacFarlane's first album was released.,"[{'question': 'Who released his first album?', 'answer': 'Macfarlane'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Macfarlane,Who released his first album?,Macfarlane,None,None,None,None,None,None,None,None,None,None,None,None,Macfarlane released his first album.
375,"Baby Driver is a 2017 British -- American action comedy film written and directed by Edgar Wright , and starring Ansel Elgort , Kevin Spacey , Lily James , Jon Bernthal , Eiza González , Jon Hamm and Jamie Foxx .",The action comedy film Baby Driver was written by Edgar Wright and directed by Mike Figgis.,"[{'question': 'Who wrote the movie Baby Driver?', 'answer': 'Edgar wright'}, {'question': 'Who directed the movie Baby Driver?', 'answer': 'Edgar wright'}, {'question': 'What is Baby Driver?', 'answer': 'Baby driver is a 2017 british action comedy film written and directed by edgar wright.'}, {'question': 'What is the name of the action comedy film?', 'answer': 'Baby driver'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Baby driver,Who wrote the movie Baby Driver?,Edgar wright,Who directed the movie Baby Driver?,Edgar wright,What is Baby Driver?,Baby driver is a 2017 british action comedy film written and directed by edgar wright.,What is the name of the action comedy film?,Baby driver,None,None,None,None,None,None,The name of the action comedy film is Baby Driver.
376,"Friends with Benefits is a 2011 American romantic comedy film directed by Will Gluck , and starring Justin Timberlake and Mila Kunis in the lead roles . The film features Patricia Clarkson , Jenna Elfman , Bryan Greenberg , Nolan Gould , Richard Jenkins , and Woody Harrelson in supporting roles .",Friends with Benefits had no human actors.,"[{'question': 'What was the effect of Friends with Benefits on the actors?', 'answer': 'The film features patricia clarkson, jenna elfman, bryan greenberg, nolan gould, richard jenkins, and woody harrelson in supporting roles.'}, {'question': 'What is the name of Friends with Benefits?', 'answer': 'Friends with benefits is a 2011 american romantic comedy film directed by will gluck, and starring justin timberlake and mila kunis in the lead roles.'}, {'question': 'Who were the people who were not actors in Friends with Benefits?', 'answer': 'Justin timberlake and mila kunis'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","The film features patricia clarkson, jenna elfman, bryan greenberg, nolan gould, richard jenkins, and woody harrelson in supporting roles.",What was the effect of Friends with Benefits on the actors?,"The film features patricia clarkson, jenna elfman, bryan greenberg, nolan gould, richard jenkins, and woody harrelson in supporting roles.",What is the name of Friends with Benefits?,"Friends with benefits is a 2011 american romantic comedy film directed by will gluck, and starring justin timberlake and mila kunis in the lead roles.",Who were the people who were not actors in Friends with Benefits?,Justin timberlake and mila kunis,None,None,None,None,None,None,None,None,"The film features patricia clarkson, jenna elfman, bryan greenberg, nolan gould, richard jenkins, and woody harrelson in supporting roles."
377,The Wicked Witch of the West is a fictional character and the most significant antagonist in L. Frank Baum 's children 's book The Wonderful Wizard of Oz -LRB- 1900 -RRB- .,The Wicked Witch of the West is from To Kill a Mockingbird.,"[{'question': 'What is the Wicked Witch of the West from?', 'answer': ""The wicked witch of the west is a fictional character and the most significant antagonist in l. frank baum's children's book the wonderful wizard of oz -lrb- 1900 -rrb-.""}, {'question': 'What is the name of the Witch from To Kill a Mockingbird?', 'answer': ""The wicked witch of the west is a fictional character and the most significant antagonist in l. frank baum's children's book the wonderful wizard of oz.""}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",The wicked witch of the west is a fictional character and the most significant antagonist in l. frank baum's children's book the wonderful wizard of oz.,What is the Wicked Witch of the West from?,The wicked witch of the west is a fictional character and the most significant antagonist in l. frank baum's children's book the wonderful wizard of oz -lrb- 1900 -rrb-.,What is the name of the Witch from To Kill a Mockingbird?,The wicked witch of the west is a fictional character and the most significant antagonist in l. frank baum's children's book the wonderful wizard of oz.,None,None,None,None,None,None,None,None,None,None,The wicked witch of the west is a fictional character and the most significant antagonist in l. frank baum's children's book the wonderful wizard of oz.
378,"Jemaine Clement -LRB- born 10 January 1974 -RRB- is a New Zealand comedian , actor , voice actor , singer , writer , director , and multi-instrumentalist , known as one half of the musical comedy duo Flight of the Conchords along with Bret McKenzie .",Jemaine Clement refused to learn to play any instruments.,"[{'question': 'Who refused to learn to play any instruments?', 'answer': 'Jemaine clement'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Jemaine clement,Who refused to learn to play any instruments?,Jemaine clement,None,None,None,None,None,None,None,None,None,None,None,None,Jemaine clement refused to learn to play any instruments.
379,Miss Selfridge is a nationwide UK high street store which began as the young fashion section of Selfridges department store in London in 1966 .,Miss Selfridge began in a corpse.,"[{'question': 'Where did Miss Selfridge begin?', 'answer': 'London'}, {'question': 'Who was the first Miss Selfridge?', 'answer': 'The first miss selfridge was the young fashion section of selfridges department store in london in 1966.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",The first miss selfridge was the young fashion section of selfridges department store in london in 1966.,Where did Miss Selfridge begin?,London,Who was the first Miss Selfridge?,The first miss selfridge was the young fashion section of selfridges department store in london in 1966.,None,None,None,None,None,None,None,None,None,None,The first miss selfridge was the young fashion section of selfridges department store in london in 1966.
